classification,text
pos,"RT @realDonaldTrump: After historic victories against ISIS, it’s time to bring our great young people home! https://t.co/xoNjFzQFTp"
pos,"With so much talk about the Wall, people are losing sight of the great job being done on our Southern Border by Bor… https://t.co/k5qANC6RBd"
pos,"The Democrats, who know Steel Slats (Wall) are necessary for Border Security, are putting politics over Country. Wh… https://t.co/CERvAG1LyR"
pos,"....Russia, Iran, Syria &amp; many others are not happy about the U.S. leaving, despite what the Fake News says, becaus… https://t.co/qWDeV0Z4yA"
neg,"Does the USA want to be the Policeman of the Middle East, getting NOTHING but spending precious lives and trillions… https://t.co/fNDrsdz1RJ"
pos,"Getting out of Syria was no surprise. I’ve been campaigning on it for years, and six months ago, when I very public… https://t.co/PVZgm8dNFz"
pos,“I’m proud of the President today to hear that he is declaring victory in Syria.” Senator Rand Paul.  “I couldn’t a… https://t.co/4CZ8WDJLDE
pos,"“Trump gets no credit for what he’s done in the Middle East.”  @IngrahamAngle  So true, thank you Laura!"
neg,"Col. Jim Carafano on @IngrahamAngle “Trump has made the Middle East a better place. When Trump came into office, IS… https://t.co/EbqxMd7fyc"
pos,"RT @GovMikeHuckabee: It took a British court to reveal it, but more shocking evidence of the REAL ""Russian collusion"" and it wasn't about @…"
pos,"After historic victories against ISIS, it’s time to bring our great young people home! https://t.co/xoNjFzQFTp"
pos,"....In any event, it goes on and on &amp; the new AG, who is now being replaced by yet another AG (who openly campaigne… https://t.co/mIB4FCJZNl"
pos,"...sleazebag AG Eric Schneiderman, who has since resigned over horrific women abuse, when I wanted to close the Fou… https://t.co/Xy43yb5eTm"
pos,"The Trump Foundation has done great work and given away lots of money, both mine and others, to great charities ove… https://t.co/BHD3TbvKK6"
pos,"We have defeated ISIS in Syria, my only reason for being there during the Trump Presidency."
neg,"Mexico is paying (indirectly) for the Wall through the new USMCA, the replacement for NAFTA! Far more money coming… https://t.co/IfjE8c6rzb"
pos,"In our Country, so much money has been poured down the drain, for so many years, but when it comes to Border Securi… https://t.co/Wx1XXgyya0"
